mode,total_return_pct,max_drawdown_pct,sharpe,final_equity,max_position_usdt,n_fills,n_rebalances,commissions_usdt,grid_span_pct,max_levels_per_side,rebalance_interval_bars,max_exposure_budget_mult,trend_filter_enabled,trend_min_dist_pct
mixed,1.413,-10.866,1.267,101409.4,191604.0,1207,200,1457.0,1.0,4,96,6.0,True,1.0
range,2.232,-4.181,4.102,102232.2,189176.0,1836,205,2410.3,1.0,4,96,6.0,True,1.0
mixed,0.459,-11.468,0.544,100456.1,178375.0,1504,205,1808.4,1.0,4,96,6.0,True,2.0
range,13.101,-2.155,21.179,113100.7,147397.0,2243,205,2912.3,1.0,4,96,6.0,True,2.0
mixed,11.015,-9.052,7.356,111011.6,178904.0,1651,205,1987.3,1.0,4,96,6.0,True,3.0
range,14.326,-2.147,22.892,114325.5,160886.0,2239,205,2905.3,1.0,4,96,6.0,True,3.0
mixed,14.566,-7.071,10.416,114561.8,139865.0,1743,205,2141.2,1.0,4,96,10.0,False,1.0
range,13.868,-2.14,22.531,113867.3,170167.0,2253,205,2926.2,1.0,4,96,10.0,False,1.0
mixed,14.566,-7.071,10.416,114561.8,139865.0,1743,205,2141.2,1.0,4,96,10.0,False,2.0
range,13.868,-2.14,22.531,113867.3,170167.0,2253,205,2926.2,1.0,4,96,10.0,False,2.0
mixed,14.566,-7.071,10.416,114561.8,139865.0,1743,205,2141.2,1.0,4,96,10.0,False,3.0
range,13.868,-2.14,22.531,113867.3,170167.0,2253,205,2926.2,1.0,4,96,10.0,False,3.0
mixed,-5.955,-14.788,-4.173,94041.5,241932.0,1246,205,1503.4,1.0,4,96,10.0,True,1.0
range,5.28,-4.181,8.354,105279.9,291777.0,1887,205,2473.3,1.0,4,96,10.0,True,1.0
mixed,2.121,-10.925,1.632,102117.9,200943.0,1562,205,1867.0,1.0,4,96,10.0,True,2.0
range,13.101,-2.155,21.179,113100.7,147397.0,2243,205,2912.3,1.0,4,96,10.0,True,2.0
mixed,10.785,-8.806,7.5,110781.0,178904.0,1656,205,1991.3,1.0,4,96,10.0,True,3.0
range,13.868,-2.14,22.531,113867.3,170167.0,2253,205,2926.2,1.0,4,96,10.0,True,3.0
mixed,14.725,-3.596,12.299,114721.1,123935.0,857,103,1038.5,1.0,4,192,3.0,False,1.0
range,3.615,-1.621,8.812,103614.5,98105.0,1084,103,1423.6,1.0,4,192,3.0,False,1.0
mixed,14.725,-3.596,12.299,114721.1,123935.0,857,103,1038.5,1.0,4,192,3.0,False,2.0
range,3.615,-1.621,8.812,103614.5,98105.0,1084,103,1423.6,1.0,4,192,3.0,False,2.0
mixed,14.725,-3.596,12.299,114721.1,123935.0,857,103,1038.5,1.0,4,192,3.0,False,3.0
range,3.615,-1.621,8.812,103614.5,98105.0,1084,103,1423.6,1.0,4,192,3.0,False,3.0
mixed,-1.367,-7.498,-1.335,98628.9,86878.0,658,101,767.8,1.0,4,192,3.0,True,1.0
range,-1.965,-3.543,-5.154,98034.4,87298.0,935,102,1230.2,1.0,4,192,3.0,True,1.0
mixed,-0.595,-6.665,-0.399,99401.1,107531.0,729,101,862.2,1.0,4,192,3.0,True,2.0
range,3.615,-1.621,8.812,103614.5,98105.0,1084,103,1423.6,1.0,4,192,3.0,True,2.0
mixed,5.386,-6.579,4.893,105382.8,127964.0,769,101,899.6,1.0,4,192,3.0,True,3.0
range,3.615,-1.621,8.812,103614.5,98105.0,1084,103,1423.6,1.0,4,192,3.0,True,3.0
mixed,14.945,-6.173,10.154,114940.7,212442.0,966,103,1151.0,1.0,4,192,6.0,False,1.0
range,4.706,-1.854,9.982,104706.2,177805.0,1177,103,1539.0,1.0,4,192,6.0,False,1.0
mixed,14.945,-6.173,10.154,114940.7,212442.0,966,103,1151.0,1.0,4,192,6.0,False,2.0
range,4.706,-1.854,9.982,104706.2,177805.0,1177,103,1539.0,1.0,4,192,6.0,False,2.0
mixed,14.945,-6.173,10.154,114940.7,212442.0,966,103,1151.0,1.0,4,192,6.0,False,3.0
range,4.706,-1.854,9.982,104706.2,177805.0,1177,103,1539.0,1.0,4,192,6.0,False,3.0
mixed,-4.713,-10.298,-3.994,95282.9,190464.0,704,101,827.9,1.0,4,192,6.0,True,1.0
range,-0.886,-2.685,-2.076,99114.0,116147.0,980,103,1291.3,1.0,4,192,6.0,True,1.0
mixed,2.2,-5.852,2.217,102196.5,248096.0,813,101,938.1,1.0,4,192,6.0,True,2.0
range,4.446,-1.409,9.657,104445.5,163636.0,1175,103,1528.7,1.0,4,192,6.0,True,2.0
mixed,6.676,-5.76,5.784,106672.3,224872.0,908,101,1057.5,1.0,4,192,6.0,True,3.0
range,4.706,-1.854,9.982,104706.2,177805.0,1177,103,1539.0,1.0,4,192,6.0,True,3.0
mixed,19.511,-5.832,11.737,119506.5,282813.0,996,103,1191.5,1.0,4,192,10.0,False,1.0
range,4.646,-1.978,9.788,104645.5,185081.0,1194,103,1560.6,1.0,4,192,10.0,False,1.0
mixed,19.511,-5.832,11.737,119506.5,282813.0,996,103,1191.5,1.0,4,192,10.0,False,2.0
range,4.646,-1.978,9.788,104645.5,185081.0,1194,103,1560.6,1.0,4,192,10.0,False,2.0
mixed,19.511,-5.832,11.737,119506.5,282813.0,996,103,1191.5,1.0,4,192,10.0,False,3.0
range,4.646,-1.978,9.788,104645.5,185081.0,1194,103,1560.6,1.0,4,192,10.0,False,3.0
mixed,-0.065,-7.591,0.147,99931.0,254940.0,723,103,849.3,1.0,4,192,10.0,True,1.0
range,-0.886,-2.685,-2.076,99114.0,116147.0,980,103,1291.3,1.0,4,192,10.0,True,1.0
mixed,6.075,-6.222,4.641,106071.7,309131.0,881,102,1028.6,1.0,4,192,10.0,True,2.0
range,4.525,-1.409,9.783,104525.1,198456.0,1187,103,1549.8,1.0,4,192,10.0,True,2.0
mixed,9.602,-5.979,6.801,109598.4,308367.0,942,102,1102.9,1.0,4,192,10.0,True,3.0
range,4.646,-1.978,9.788,104645.5,185081.0,1194,103,1560.6,1.0,4,192,10.0,True,3.0
mixed,-8.373,-16.652,-4.584,91623.7,117433.0,3463,409,3932.6,1.0,6,48,3.0,False,1.0
range,25.075,-3.031,33.729,125073.7,119017.0,5041,409,5734.1,1.0,6,48,3.0,False,1.0
mixed,-8.373,-16.652,-4.584,91623.7,117433.0,3463,409,3932.6,1.0,6,48,3.0,False,2.0
range,25.075,-3.031,33.729,125073.7,119017.0,5041,409,5734.1,1.0,6,48,3.0,False,2.0
mixed,-8.373,-16.652,-4.584,91623.7,117433.0,3463,409,3932.6,1.0,6,48,3.0,False,3.0
range,25.075,-3.031,33.729,125073.7,119017.0,5041,409,5734.1,1.0,6,48,3.0,False,3.0
mixed,-2.902,-20.347,-1.623,97094.3,129314.0,2583,381,2923.8,1.0,6,48,3.0,True,1.0
range,5.827,-3.304,8.791,105825.5,124834.0,4257,404,4992.6,1.0,6,48,3.0,True,1.0
mixed,-1.326,-15.454,-0.494,98670.8,112353.0,3037,403,3397.7,1.0,6,48,3.0,True,2.0
range,22.377,-3.398,30.114,122375.6,120155.0,4957,409,5612.1,1.0,6,48,3.0,True,2.0
mixed,-3.559,-13.558,-1.74,96438.1,116458.0,3400,407,3789.7,1.0,6,48,3.0,True,3.0
range,25.075,-3.031,33.729,125073.7,119017.0,5041,409,5734.1,1.0,6,48,3.0,True,3.0
mixed,-0.743,-17.215,-0.005,99254.2,178472.0,3851,409,4327.4,1.0,6,48,6.0,False,1.0
range,31.192,-2.992,35.373,131190.8,192418.0,5294,409,5937.8,1.0,6,48,6.0,False,1.0
mixed,-0.743,-17.215,-0.005,99254.2,178472.0,3851,409,4327.4,1.0,6,48,6.0,False,2.0
range,31.192,-2.992,35.373,131190.8,192418.0,5294,409,5937.8,1.0,6,48,6.0,False,2.0
mixed,-0.743,-17.215,-0.005,99254.2,178472.0,3851,409,4327.4,1.0,6,48,6.0,False,3.0
range,31.192,-2.992,35.373,131190.8,192418.0,5294,409,5937.8,1.0,6,48,6.0,False,3.0
mixed,-1.694,-18.489,-0.589,98301.7,220734.0,2746,399,3129.1,1.0,6,48,6.0,True,1.0
range,11.164,-4.404,14.12,111162.6,207943.0,4590,406,5294.0,1.0,6,48,6.0,True,1.0
mixed,6.342,-12.587,3.199,106338.3,197937.0,3437,403,3773.1,1.0,6,48,6.0,True,2.0
range,31.243,-3.955,35.544,131241.2,200565.0,5298,409,5916.9,1.0,6,48,6.0,True,2.0
mixed,5.292,-13.839,2.737,105288.4,206375.0,3638,408,4020.6,1.0,6,48,6.0,True,3.0
range,31.192,-2.992,35.373,131190.8,192418.0,5294,409,5937.8,1.0,6,48,6.0,True,3.0
mixed,6.214,-14.969,3.173,106211.0,294356.0,3894,409,4373.1,1.0,6,48,10.0,False,1.0
range,34.408,-2.992,38.335,134406.8,256333.0,5507,409,6149.0,1.0,6,48,10.0,False,1.0
mixed,6.214,-14.969,3.173,106211.0,294356.0,3894,409,4373.1,1.0,6,48,10.0,False,2.0
range,34.408,-2.992,38.335,134406.8,256333.0,5507,409,6149.0,1.0,6,48,10.0,False,2.0
mixed,6.214,-14.969,3.173,106211.0,294356.0,3894,409,4373.1,1.0,6,48,10.0,False,3.0
range,34.408,-2.992,38.335,134406.8,256333.0,5507,409,6149.0,1.0,6,48,10.0,False,3.0
mixed,-6.743,-21.259,-3.405,93252.8,295971.0,2832,407,3203.7,1.0,6,48,10.0,True,1.0
range,15.208,-4.404,17.821,115206.4,332757.0,4625,406,5334.0,1.0,6,48,10.0,True,1.0
mixed,7.104,-14.352,3.264,107100.6,320734.0,3496,407,3840.8,1.0,6,48,10.0,True,2.0
range,32.334,-3.955,36.215,132332.6,239786.0,5454,409,6089.7,1.0,6,48,10.0,True,2.0
mixed,5.993,-12.599,3.084,105989.6,300422.0,3717,409,4105.0,1.0,6,48,10.0,True,3.0
range,34.408,-2.992,38.335,134406.8,256333.0,5507,409,6149.0,1.0,6,48,10.0,True,3.0
mixed,18.32,-8.58,13.889,118316.5,104331.0,1828,205,2117.3,1.0,6,96,3.0,False,1.0
range,23.256,-1.221,35.653,123254.5,103535.0,2767,205,3240.9,1.0,6,96,3.0,False,1.0
mixed,18.32,-8.58,13.889,118316.5,104331.0,1828,205,2117.3,1.0,6,96,3.0,False,2.0
range,23.256,-1.221,35.653,123254.5,103535.0,2767,205,3240.9,1.0,6,96,3.0,False,2.0
mixed,18.32,-8.58,13.889,118316.5,104331.0,1828,205,2117.3,1.0,6,96,3.0,False,3.0
range,23.256,-1.221,35.653,123254.5,103535.0,2767,205,3240.9,1.0,6,96,3.0,False,3.0
mixed,3.743,-9.501,3.476,103739.3,105648.0,1297,190,1496.0,1.0,6,96,3.0,True,1.0
range,10.218,-4.305,18.678,110217.1,143484.0,2277,201,2714.0,1.0,6,96,3.0,True,1.0
mixed,15.006,-7.976,11.816,115002.0,108512.0,1622,196,1827.8,1.0,6,96,3.0,True,2.0
range,21.951,-1.676,32.437,121949.7,103261.0,2760,205,3238.8,1.0,6,96,3.0,True,2.0
mixed,16.098,-8.691,12.754,116094.6,114526.0,1692,199,1912.3,1.0,6,96,3.0,True,3.0
range,23.256,-1.221,35.653,123254.5,103535.0,2767,205,3240.9,1.0,6,96,3.0,True,3.0
mixed,13.478,-10.918,8.253,113474.1,192372.0,2003,205,2308.3,1.0,6,96,6.0,False,1.0
range,24.417,-1.731,32.717,124416.0,236302.0,2843,205,3301.1,1.0,6,96,6.0,False,1.0
mixed,13.478,-10.918,8.253,113474.1,192372.0,2003,205,2308.3,1.0,6,96,6.0,False,2.0
range,24.417,-1.731,32.717,124416.0,236302.0,2843,205,3301.1,1.0,6,96,6.0,False,2.0
mixed,13.478,-10.918,8.253,113474.1,192372.0,2003,205,2308.3,1.0,6,96,6.0,False,3.0
range,24.417,-1.731,32.717,124416.0,236302.0,2843,205,3301.1,1.0,6,96,6.0,False,3.0
mixed,4.656,-11.71,3.665,104652.1,195150.0,1377,199,1574.6,1.0,6,96,6.0,True,1.0
range,7.821,-5.543,11.688,107819.6,197791.0,2463,203,2899.1,1.0,6,96,6.0,True,1.0
mixed,3.355,-11.582,2.918,103352.0,187552.0,1775,205,1982.7,1.0,6,96,6.0,True,2.0
range,22.977,-1.747,31.463,122975.4,227781.0,2804,205,3247.3,1.0,6,96,6.0,True,2.0
mixed,11.594,-9.78,8.661,111590.9,180645.0,1843,204,2077.9,1.0,6,96,6.0,True,3.0
range,24.417,-1.731,32.717,124416.0,236302.0,2843,205,3301.1,1.0,6,96,6.0,True,3.0
mixed,13.382,-10.377,9.01,113379.0,192372.0,2024,205,2331.8,1.0,6,96,10.0,False,1.0
range,28.373,-1.743,35.024,128371.6,302244.0,2936,205,3399.2,1.0,6,96,10.0,False,1.0
mixed,13.382,-10.377,9.01,113379.0,192372.0,2024,205,2331.8,1.0,6,96,10.0,False,2.0
range,28.373,-1.743,35.024,128371.6,302244.0,2936,205,3399.2,1.0,6,96,10.0,False,2.0
mixed,13.382,-10.377,9.01,113379.0,192372.0,2024,205,2331.8,1.0,6,96,10.0,False,3.0
range,28.373,-1.743,35.024,128371.6,302244.0,2936,205,3399.2,1.0,6,96,10.0,False,3.0
mixed,-2.004,-14.468,-1.146,97992.0,299260.0,1469,204,1663.6,1.0,6,96,10.0,True,1.0
range,14.156,-4.414,19.414,114155.0,356989.0,2474,201,2909.6,1.0,6,96,10.0,True,1.0
mixed,3.305,-11.635,2.314,103301.6,246003.0,1834,205,2047.7,1.0,6,96,10.0,True,2.0
range,28.429,-1.781,35.615,128427.2,305503.0,2905,205,3352.2,1.0,6,96,10.0,True,2.0
mixed,12.242,-10.151,8.284,112238.5,230130.0,1930,205,2176.2,1.0,6,96,10.0,True,3.0
range,28.373,-1.743,35.024,128371.6,302244.0,2936,205,3399.2,1.0,6,96,10.0,True,3.0
mixed,14.478,-3.416,13.389,114474.5,123788.0,958,103,1095.9,1.0,6,192,3.0,False,1.0
range,8.331,-1.377,18.325,108329.7,129158.0,1360,103,1624.2,1.0,6,192,3.0,False,1.0
mixed,14.478,-3.416,13.389,114474.5,123788.0,958,103,1095.9,1.0,6,192,3.0,False,2.0
range,8.331,-1.377,18.325,108329.7,129158.0,1360,103,1624.2,1.0,6,192,3.0,False,2.0
mixed,14.478,-3.416,13.389,114474.5,123788.0,958,103,1095.9,1.0,6,192,3.0,False,3.0
range,8.331,-1.377,18.325,108329.7,129158.0,1360,103,1624.2,1.0,6,192,3.0,False,3.0
mixed,3.249,-6.557,3.55,103245.3,101635.0,757,98,842.0,1.0,6,192,3.0,True,1.0
range,1.627,-1.835,3.581,101625.4,96896.0,1192,101,1437.9,1.0,6,192,3.0,True,1.0
mixed,5.371,-4.603,5.64,105367.6,120779.0,886,100,992.3,1.0,6,192,3.0,True,2.0
range,6.427,-1.377,13.702,106425.9,130838.0,1372,103,1655.3,1.0,6,192,3.0,True,2.0
mixed,15.564,-3.09,13.921,115560.0,128766.0,908,100,1014.1,1.0,6,192,3.0,True,3.0
range,8.331,-1.377,18.325,108329.7,129158.0,1360,103,1624.2,1.0,6,192,3.0,True,3.0
mixed,20.661,-6.372,13.44,120657.5,174210.0,1179,103,1344.5,1.0,6,192,6.0,False,1.0
range,9.147,-1.334,14.542,109146.0,200380.0,1466,103,1769.1,1.0,6,192,6.0,False,1.0
mixed,20.661,-6.372,13.44,120657.5,174210.0,1179,103,1344.5,1.0,6,192,6.0,False,2.0
range,9.147,-1.334,14.542,109146.0,200380.0,1466,103,1769.1,1.0,6,192,6.0,False,2.0
mixed,20.661,-6.372,13.44,120657.5,174210.0,1179,103,1344.5,1.0,6,192,6.0,False,3.0
range,9.147,-1.334,14.542,109146.0,200380.0,1466,103,1769.1,1.0,6,192,6.0,False,3.0
mixed,2.687,-7.142,2.491,102682.9,170750.0,890,103,989.7,1.0,6,192,6.0,True,1.0
range,3.355,-2.475,7.278,103353.5,189383.0,1293,103,1557.1,1.0,6,192,6.0,True,1.0
mixed,9.498,-7.168,7.775,109494.3,211085.0,1018,103,1130.5,1.0,6,192,6.0,True,2.0
range,8.454,-1.334,13.803,108453.2,200338.0,1452,103,1753.3,1.0,6,192,6.0,True,2.0
mixed,12.236,-6.536,8.95,112232.1,182215.0,1108,101,1236.8,1.0,6,192,6.0,True,3.0
range,9.147,-1.334,14.542,109146.0,200380.0,1466,103,1769.1,1.0,6,192,6.0,True,3.0
mixed,20.643,-6.501,13.471,120639.8,200954.0,1197,103,1363.4,1.0,6,192,10.0,False,1.0
range,12.037,-1.334,17.858,112035.8,308024.0,1592,103,1903.2,1.0,6,192,10.0,False,1.0
mixed,20.643,-6.501,13.471,120639.8,200954.0,1197,103,1363.4,1.0,6,192,10.0,False,2.0
range,12.037,-1.334,17.858,112035.8,308024.0,1592,103,1903.2,1.0,6,192,10.0,False,2.0
mixed,20.643,-6.501,13.471,120639.8,200954.0,1197,103,1363.4,1.0,6,192,10.0,False,3.0
range,12.037,-1.334,17.858,112035.8,308024.0,1592,103,1903.2,1.0,6,192,10.0,False,3.0
mixed,2.687,-7.142,2.491,102682.9,170750.0,890,103,989.7,1.0,6,192,10.0,True,1.0
range,4.886,-2.475,9.25,104884.6,271261.0,1320,103,1583.8,1.0,6,192,10.0,True,1.0
mixed,11.338,-6.916,8.856,111334.4,247102.0,1090,103,1207.3,1.0,6,192,10.0,True,2.0
range,11.984,-1.334,18.366,111982.8,294304.0,1598,103,1904.9,1.0,6,192,10.0,True,2.0
mixed,16.682,-6.112,11.747,116678.4,219301.0,1132,103,1263.6,1.0,6,192,10.0,True,3.0
range,12.037,-1.334,17.858,112035.8,308024.0,1592,103,1903.2,1.0,6,192,10.0,True,3.0
mixed,-10.163,-18.649,-6.098,89833.9,116460.0,3645,409,4057.0,1.0,8,48,3.0,False,1.0
range,23.943,-3.519,31.353,123941.5,111110.0,5440,409,5927.2,1.0,8,48,3.0,False,1.0
mixed,-10.163,-18.649,-6.098,89833.9,116460.0,3645,409,4057.0,1.0,8,48,3.0,False,2.0
range,23.943,-3.519,31.353,123941.5,111110.0,5440,409,5927.2,1.0,8,48,3.0,False,2.0
mixed,-10.163,-18.649,-6.098,89833.9,116460.0,3645,409,4057.0,1.0,8,48,3.0,False,3.0
range,23.943,-3.519,31.353,123941.5,111110.0,5440,409,5927.2,1.0,8,48,3.0,False,3.0
mixed,-3.791,-23.879,-2.109,96205.5,108251.0,2729,384,3016.4,1.0,8,48,3.0,True,1.0
range,12.343,-2.971,16.626,112342.0,110406.0,4720,405,5296.5,1.0,8,48,3.0,True,1.0
mixed,3.759,-12.047,2.441,103756.0,126646.0,3302,404,3584.5,1.0,8,48,3.0,True,2.0
range,24.407,-2.828,32.156,124405.1,106460.0,5357,409,5839.4,1.0,8,48,3.0,True,2.0
mixed,-5.66,-13.823,-2.858,94336.7,118854.0,3429,404,3759.9,1.0,8,48,3.0,True,3.0
range,23.943,-3.519,31.353,123941.5,111110.0,5440,409,5927.2,1.0,8,48,3.0,True,3.0
mixed,-1.263,-19.015,-0.202,98734.0,191037.0,3949,409,4360.5,1.0,8,48,6.0,False,1.0
range,31.814,-3.032,35.28,131812.9,210104.0,5780,409,6272.7,1.0,8,48,6.0,False,1.0
mixed,-1.263,-19.015,-0.202,98734.0,191037.0,3949,409,4360.5,1.0,8,48,6.0,False,2.0
range,31.814,-3.032,35.28,131812.9,210104.0,5780,409,6272.7,1.0,8,48,6.0,False,2.0
mixed,-1.263,-19.015,-0.202,98734.0,191037.0,3949,409,4360.5,1.0,8,48,6.0,False,3.0
range,31.814,-3.032,35.28,131812.9,210104.0,5780,409,6272.7,1.0,8,48,6.0,False,3.0
mixed,1.604,-17.832,1.12,101600.1,241394.0,2877,398,3203.4,1.0,8,48,6.0,True,1.0
range,14.412,-4.27,16.828,114410.8,210052.0,5053,407,5605.7,1.0,8,48,6.0,True,1.0
mixed,7.478,-11.81,3.84,107474.6,185376.0,3628,408,3895.1,1.0,8,48,6.0,True,2.0
range,30.702,-4.244,33.817,130701.0,199784.0,5715,409,6206.5,1.0,8,48,6.0,True,2.0
mixed,8.129,-13.852,4.1,108126.1,200888.0,3791,408,4111.7,1.0,8,48,6.0,True,3.0
range,31.814,-3.032,35.28,131812.9,210104.0,5780,409,6272.7,1.0,8,48,6.0,True,3.0
mixed,3.633,-15.946,1.925,103629.9,297191.0,4056,409,4462.2,1.0,8,48,10.0,False,1.0
range,39.356,-3.032,40.734,139354.3,272199.0,6011,409,6457.4,1.0,8,48,10.0,False,1.0
mixed,3.633,-15.946,1.925,103629.9,297191.0,4056,409,4462.2,1.0,8,48,10.0,False,2.0
range,39.356,-3.032,40.734,139354.3,272199.0,6011,409,6457.4,1.0,8,48,10.0,False,2.0
mixed,3.633,-15.946,1.925,103629.9,297191.0,4056,409,4462.2,1.0,8,48,10.0,False,3.0
range,39.356,-3.032,40.734,139354.3,272199.0,6011,409,6457.4,1.0,8,48,10.0,False,3.0
mixed,-6.308,-21.194,-3.085,93688.1,281348.0,2990,409,3307.8,1.0,8,48,10.0,True,1.0
range,16.003,-4.27,18.08,116001.2,303509.0,5120,409,5661.9,1.0,8,48,10.0,True,1.0
mixed,4.706,-15.686,2.298,104703.2,298728.0,3635,408,3920.1,1.0,8,48,10.0,True,2.0
range,37.245,-4.244,38.222,137243.9,240889.0,5966,409,6420.7,1.0,8,48,10.0,True,2.0
mixed,9.14,-13.952,4.188,109136.2,315184.0,3861,409,4177.5,1.0,8,48,10.0,True,3.0
range,39.356,-3.032,40.734,139354.3,272199.0,6011,409,6457.4,1.0,8,48,10.0,True,3.0
mixed,19.731,-6.157,15.481,119726.9,100008.0,1939,205,2189.2,1.0,8,96,3.0,False,1.0
